"Assay"	"Sample Characteristic[organism]"	"Sample Characteristic Ontology Term[organism]"	"Sample Characteristic[individual]"	"Sample Characteristic Ontology Term[individual]"	"Sample Characteristic[age]"	"Sample Characteristic Ontology Term[age]"	"Sample Characteristic[developmental stage]"	"Sample Characteristic Ontology Term[developmental stage]"	"Sample Characteristic[sex]"	"Sample Characteristic Ontology Term[sex]"	"Sample Characteristic[organism part]"	"Sample Characteristic Ontology Term[organism part]"	"Sample Characteristic[progenitor cell type]"	"Sample Characteristic Ontology Term[progenitor cell type]"	"Sample Characteristic[cell type]"	"Sample Characteristic Ontology Term[cell type]"	"Sample Characteristic[cell line]"	"Sample Characteristic Ontology Term[cell line]"	"Sample Characteristic[sampling site]"	"Sample Characteristic Ontology Term[sampling site]"	"Sample Characteristic[growth condition]"	"Sample Characteristic Ontology Term[growth condition]"	"Sample Characteristic[disease]"	"Sample Characteristic Ontology Term[disease]"	"Factor Value[single cell identifier]"	"Factor Value Ontology Term[single cell identifier]"	"Factor Value[time]"	"Factor Value Ontology Term[time]"	"Factor Value[individual]"	"Factor Value Ontology Term[individual]"	"Factor Value[cell type]"	"Factor Value Ontology Term[cell type]"	"Factor Value[cell line]"	"Factor Value Ontology Term[cell line]"	"Factor Value[sampling site]"	"Factor Value Ontology Term[sampling site]"
"SRR2967484"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"ESC organoid 2"		"not applicable"		"blastocyst"	"http://purl.obolibrary.org/obo/UBERON_0000358"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"H9"		"cortical-like ventricle - region 2"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"mdOrg2_A5_hOrg_ESC_reg2_53d"		"53 day"		"ESC organoid 2"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"H9"		"cortical-like ventricle - region 2"	
"SRR2967485"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"ESC organoid 2"		"not applicable"		"blastocyst"	"http://purl.obolibrary.org/obo/UBERON_0000358"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"H9"		"cortical-like ventricle - region 2"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"mdOrg2_A7_hOrg_ESC_reg2_53d"		"53 day"		"ESC organoid 2"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"H9"		"cortical-like ventricle - region 2"	
"SRR2967486"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"ESC organoid 2"		"not applicable"		"blastocyst"	"http://purl.obolibrary.org/obo/UBERON_0000358"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"H9"		"cortical-like ventricle - region 2"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"mdOrg2_B10_hOrg_ESC_reg2_53d"		"53 day"		"ESC organoid 2"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"H9"		"cortical-like ventricle - region 2"	
"SRR2967487"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"ESC organoid 2"		"not applicable"		"blastocyst"	"http://purl.obolibrary.org/obo/UBERON_0000358"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"H9"		"cortical-like ventricle - region 2"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"mdOrg2_B2_hOrg_ESC_reg2_53d"		"53 day"		"ESC organoid 2"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"H9"		"cortical-like ventricle - region 2"	
"SRR2967488"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"ESC organoid 2"		"not applicable"		"blastocyst"	"http://purl.obolibrary.org/obo/UBERON_0000358"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"H9"		"cortical-like ventricle - region 2"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"mdOrg2_B3_hOrg_ESC_reg2_53d"		"53 day"		"ESC organoid 2"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"H9"		"cortical-like ventricle - region 2"	
"SRR2967489"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"ESC organoid 2"		"not applicable"		"blastocyst"	"http://purl.obolibrary.org/obo/UBERON_0000358"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"H9"		"cortical-like ventricle - region 2"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"mdOrg2_B4_hOrg_ESC_reg2_53d"		"53 day"		"ESC organoid 2"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"H9"		"cortical-like ventricle - region 2"	
"SRR2967490"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"ESC organoid 2"		"not applicable"		"blastocyst"	"http://purl.obolibrary.org/obo/UBERON_0000358"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"H9"		"cortical-like ventricle - region 2"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"mdOrg2_B6_hOrg_ESC_reg2_53d"		"53 day"		"ESC organoid 2"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"H9"		"cortical-like ventricle - region 2"	
"SRR2967491"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"ESC organoid 2"		"not applicable"		"blastocyst"	"http://purl.obolibrary.org/obo/UBERON_0000358"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"H9"		"cortical-like ventricle - region 2"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"mdOrg2_C10_hOrg_ESC_reg2_53d"		"53 day"		"ESC organoid 2"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"H9"		"cortical-like ventricle - region 2"	
"SRR2967492"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"ESC organoid 2"		"not applicable"		"blastocyst"	"http://purl.obolibrary.org/obo/UBERON_0000358"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"H9"		"cortical-like ventricle - region 2"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"mdOrg2_C11_hOrg_ESC_reg2_53d"		"53 day"		"ESC organoid 2"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"H9"		"cortical-like ventricle - region 2"	
"SRR2967493"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"ESC organoid 2"		"not applicable"		"blastocyst"	"http://purl.obolibrary.org/obo/UBERON_0000358"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"H9"		"cortical-like ventricle - region 2"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"mdOrg2_C3_hOrg_ESC_reg2_53d"		"53 day"		"ESC organoid 2"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"H9"		"cortical-like ventricle - region 2"	
"SRR2967494"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"ESC organoid 2"		"not applicable"		"blastocyst"	"http://purl.obolibrary.org/obo/UBERON_0000358"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"H9"		"cortical-like ventricle - region 2"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"mdOrg2_C4_hOrg_ESC_reg2_53d"		"53 day"		"ESC organoid 2"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"H9"		"cortical-like ventricle - region 2"	
"SRR2967495"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"ESC organoid 2"		"not applicable"		"blastocyst"	"http://purl.obolibrary.org/obo/UBERON_0000358"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"H9"		"cortical-like ventricle - region 2"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"mdOrg2_D10_hOrg_ESC_reg2_53d"		"53 day"		"ESC organoid 2"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"H9"		"cortical-like ventricle - region 2"	
"SRR2967496"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"ESC organoid 2"		"not applicable"		"blastocyst"	"http://purl.obolibrary.org/obo/UBERON_0000358"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"H9"		"cortical-like ventricle - region 2"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"mdOrg2_D11_hOrg_ESC_reg2_53d"		"53 day"		"ESC organoid 2"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"H9"		"cortical-like ventricle - region 2"	
"SRR2967497"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"ESC organoid 2"		"not applicable"		"blastocyst"	"http://purl.obolibrary.org/obo/UBERON_0000358"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"H9"		"cortical-like ventricle - region 2"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"mdOrg2_D12_hOrg_ESC_reg2_53d"		"53 day"		"ESC organoid 2"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"H9"		"cortical-like ventricle - region 2"	
"SRR2967498"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"ESC organoid 2"		"not applicable"		"blastocyst"	"http://purl.obolibrary.org/obo/UBERON_0000358"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"H9"		"cortical-like ventricle - region 2"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"mdOrg2_D1_hOrg_ESC_reg2_53d"		"53 day"		"ESC organoid 2"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"H9"		"cortical-like ventricle - region 2"	
"SRR2967499"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"ESC organoid 2"		"not applicable"		"blastocyst"	"http://purl.obolibrary.org/obo/UBERON_0000358"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"H9"		"cortical-like ventricle - region 2"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"mdOrg2_D2_hOrg_ESC_reg2_53d"		"53 day"		"ESC organoid 2"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"H9"		"cortical-like ventricle - region 2"	
"SRR2967500"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"ESC organoid 2"		"not applicable"		"blastocyst"	"http://purl.obolibrary.org/obo/UBERON_0000358"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"H9"		"cortical-like ventricle - region 2"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"mdOrg2_D4_hOrg_ESC_reg2_53d"		"53 day"		"ESC organoid 2"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"H9"		"cortical-like ventricle - region 2"	
"SRR2967501"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"ESC organoid 2"		"not applicable"		"blastocyst"	"http://purl.obolibrary.org/obo/UBERON_0000358"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"H9"		"cortical-like ventricle - region 2"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"mdOrg2_D5_hOrg_ESC_reg2_53d"		"53 day"		"ESC organoid 2"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"H9"		"cortical-like ventricle - region 2"	
"SRR2967502"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"ESC organoid 2"		"not applicable"		"blastocyst"	"http://purl.obolibrary.org/obo/UBERON_0000358"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"H9"		"cortical-like ventricle - region 2"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"mdOrg2_D6_hOrg_ESC_reg2_53d"		"53 day"		"ESC organoid 2"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"H9"		"cortical-like ventricle - region 2"	
"SRR2967503"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"ESC organoid 2"		"not applicable"		"blastocyst"	"http://purl.obolibrary.org/obo/UBERON_0000358"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"H9"		"cortical-like ventricle - region 2"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"mdOrg2_D7_hOrg_ESC_reg2_53d"		"53 day"		"ESC organoid 2"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"H9"		"cortical-like ventricle - region 2"	
"SRR2967504"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"ESC organoid 2"		"not applicable"		"blastocyst"	"http://purl.obolibrary.org/obo/UBERON_0000358"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"H9"		"cortical-like ventricle - region 2"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"mdOrg2_D8_hOrg_ESC_reg2_53d"		"53 day"		"ESC organoid 2"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"H9"		"cortical-like ventricle - region 2"	
"SRR2967505"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"ESC organoid 2"		"not applicable"		"blastocyst"	"http://purl.obolibrary.org/obo/UBERON_0000358"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"H9"		"cortical-like ventricle - region 2"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"mdOrg2_E2_hOrg_ESC_reg2_53d"		"53 day"		"ESC organoid 2"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"H9"		"cortical-like ventricle - region 2"	
"SRR2967506"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"ESC organoid 2"		"not applicable"		"blastocyst"	"http://purl.obolibrary.org/obo/UBERON_0000358"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"H9"		"cortical-like ventricle - region 2"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"mdOrg2_E6_hOrg_ESC_reg2_53d"		"53 day"		"ESC organoid 2"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"H9"		"cortical-like ventricle - region 2"	
"SRR2967507"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"ESC organoid 2"		"not applicable"		"blastocyst"	"http://purl.obolibrary.org/obo/UBERON_0000358"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"H9"		"cortical-like ventricle - region 2"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"mdOrg2_E8_hOrg_ESC_reg2_53d"		"53 day"		"ESC organoid 2"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"H9"		"cortical-like ventricle - region 2"	
"SRR2967508"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"ESC organoid 2"		"not applicable"		"blastocyst"	"http://purl.obolibrary.org/obo/UBERON_0000358"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"H9"		"cortical-like ventricle - region 2"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"mdOrg2_E9_hOrg_ESC_reg2_53d"		"53 day"		"ESC organoid 2"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"H9"		"cortical-like ventricle - region 2"	
"SRR2967509"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"ESC organoid 2"		"not applicable"		"blastocyst"	"http://purl.obolibrary.org/obo/UBERON_0000358"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"H9"		"cortical-like ventricle - region 2"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"mdOrg2_F12_hOrg_ESC_reg2_53d"		"53 day"		"ESC organoid 2"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"H9"		"cortical-like ventricle - region 2"	
"SRR2967510"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"ESC organoid 2"		"not applicable"		"blastocyst"	"http://purl.obolibrary.org/obo/UBERON_0000358"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"H9"		"cortical-like ventricle - region 2"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"mdOrg2_F2_hOrg_ESC_reg2_53d"		"53 day"		"ESC organoid 2"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"H9"		"cortical-like ventricle - region 2"	
"SRR2967511"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"ESC organoid 2"		"not applicable"		"blastocyst"	"http://purl.obolibrary.org/obo/UBERON_0000358"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"H9"		"cortical-like ventricle - region 2"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"mdOrg2_F3_hOrg_ESC_reg2_53d"		"53 day"		"ESC organoid 2"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"H9"		"cortical-like ventricle - region 2"	
"SRR2967512"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"ESC organoid 2"		"not applicable"		"blastocyst"	"http://purl.obolibrary.org/obo/UBERON_0000358"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"H9"		"cortical-like ventricle - region 2"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"mdOrg2_F5_hOrg_ESC_reg2_53d"		"53 day"		"ESC organoid 2"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"H9"		"cortical-like ventricle - region 2"	
"SRR2967513"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"ESC organoid 2"		"not applicable"		"blastocyst"	"http://purl.obolibrary.org/obo/UBERON_0000358"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"H9"		"cortical-like ventricle - region 2"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"mdOrg2_F6_hOrg_ESC_reg2_53d"		"53 day"		"ESC organoid 2"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"H9"		"cortical-like ventricle - region 2"	
"SRR2967514"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"ESC organoid 2"		"not applicable"		"blastocyst"	"http://purl.obolibrary.org/obo/UBERON_0000358"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"H9"		"cortical-like ventricle - region 2"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"mdOrg2_F7_hOrg_ESC_reg2_53d"		"53 day"		"ESC organoid 2"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"H9"		"cortical-like ventricle - region 2"	
"SRR2967515"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"ESC organoid 2"		"not applicable"		"blastocyst"	"http://purl.obolibrary.org/obo/UBERON_0000358"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"H9"		"cortical-like ventricle - region 2"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"mdOrg2_G10_hOrg_ESC_reg2_53d"		"53 day"		"ESC organoid 2"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"H9"		"cortical-like ventricle - region 2"	
"SRR2967516"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"ESC organoid 2"		"not applicable"		"blastocyst"	"http://purl.obolibrary.org/obo/UBERON_0000358"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"H9"		"cortical-like ventricle - region 2"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"mdOrg2_G1_hOrg_ESC_reg2_53d"		"53 day"		"ESC organoid 2"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"H9"		"cortical-like ventricle - region 2"	
